Client IP Address	Name	Lease Expiration	Type	Unique ID	Description	Network Access Protection	Probation Expiration	Filter Profile	Policy
192.168.166.79		7/28/2023 5:25:41 AM	DHCP	569918e34d6c		Full Access	N/A	None	
192.168.166.80		7/28/2023 1:22:49 PM	DHCP	4ee5c0112d01		Full Access	N/A	None	
192.168.166.81	ANUP-s-M52.soct.com	7/28/2023 3:24:25 PM	DHCP	0a63dc54231d		Full Access	N/A	None	
192.168.166.82	RedmiNote6Pro-Nagur.soct.com	7/28/2023 2:07:01 PM	DHCP	70bbe94ca41a		Full Access	N/A	None	
192.168.166.83	I-am-GROOT.soct.com	7/27/2023 12:49:13 PM	DHCP	f228c27a7012		Full Access	N/A	None	
192.168.166.84	Harshith-s-S21-FE.soct.com	7/28/2023 3:35:24 PM	DHCP	de5ab837d386		Full Access	N/A	None	
192.168.166.85		7/27/2023 10:34:16 AM	DHCP	7af4060e614c		Full Access	N/A	None	
192.168.166.86	Galaxy-Tab-A.soct.com	7/27/2023 4:50:59 PM	DHCP	ae8da818e49f		Full Access	N/A	None	
192.168.166.87	HYBMALLAM.atai.ai	7/28/2023 12:52:27 PM	DHCP	00216bd599e0		Full Access	N/A	None	
192.168.166.88	HYNB-RMAHANKALI12.soct.com	7/28/2023 9:22:04 AM	DHCP	b068e6dabde1		Full Access	N/A	None	
192.168.166.89	Galaxy-Z-Flip3-5G.soct.com	7/27/2023 2:33:25 PM	DHCP	6ab3f431b711		Full Access	N/A	None	
192.168.166.90	realme-X7-Max.soct.com	7/28/2023 1:25:14 PM	DHCP	7ebaa9f1c62b		Full Access	N/A	None	
192.168.166.92	RpiFlt-HYD.soct.com	7/28/2023 3:48:31 PM	DHCP	e45f01f41fc2		Full Access	N/A	None	
192.168.166.93	Galaxy-M30.soct.com	7/28/2023 4:02:26 PM	DHCP	3227bb48052a		Full Access	N/A	None	
192.168.166.94	realme-6.soct.com	7/28/2023 1:44:03 PM	DHCP	f68aacaf4ddc		Full Access	N/A	None	
192.168.166.97	OnePlus-Nord.soct.com	7/28/2023 2:51:44 PM	DHCP	0ebc77853def		Full Access	N/A	None	
192.168.166.98	HYNB-LALLU.soct.com	7/28/2023 9:34:28 AM	DHCP	b068e6dbf405		Full Access	N/A	None	
192.168.166.146	HYNB-MOULALI.soct.com	7/28/2023 11:33:22 AM	DHCP	b068e6bab2a3		Full Access	N/A	None	
192.168.166.157	HYNBRTHALLAPELLY.soct.com	7/28/2023 2:29:47 PM	DHCP	b068e6daa943		Full Access	N/A	None	
192.168.166.162	HYNB-srikar.soct.com	7/26/2023 5:20:13 PM	DHCP	b068e68146e3		Full Access	N/A	None	
192.168.166.231	atai-Vostro-3580.soct.com	7/28/2023 3:10:43 PM	DHCP	b068e6b9a515		Full Access	N/A	None	
192.168.166.239	mgollu-Vostro-3580.soct.com	7/28/2023 1:42:47 PM	DHCP	b068e6826643		Full Access	N/A	None	
